model_name,article_id,category,ner_score,nli_score,summary_score,translation_score,overall_score
qwen3.5-397b-a17b,CULTURE_004,culture,9.86,10.0,9.0,10.0,9.71
qwen3.5-397b-a17b,CULTURE_005,culture,6.65,10.0,10.0,7.83,8.45
qwen3.5-397b-a17b,CULTURE_012,culture,9.17,10.0,10.0,10.0,9.75
qwen3.5-397b-a17b,CULTURE_014,culture,5.17,10.0,10.0,10.0,8.55
qwen3.5-397b-a17b,CULTURE_015,culture,8.19,10.0,10.0,10.0,8.82
qwen3.5-397b-a17b,CULTURE_017,culture,7.9,10.0,10.0,6.83,8.58
qwen3.5-397b-a17b,CULTURE_018,culture,8.1,10.0,10.0,10.0,9.43
qwen3.5-397b-a17b,CULTURE_024,culture,10.0,10.0,10.0,9.0,9.75
qwen3.5-397b-a17b,CULTURE_028,culture,7.99,10.0,10.0,6.83,8.6
qwen3.5-397b-a17b,CULTURE_029,culture,9.31,10.0,8.0,10.0,9.29
qwen3.5-397b-a17b,CULTURE_030,culture,9.22,10.0,6.83,8.83,8.68
qwen3.5-397b-a17b,CULTURE_032,culture,8.14,10.0,10.0,10.0,9.44
qwen3.5-397b-a17b,CULTURE_033,culture,7.25,10.0,10.0,5.83,8.13
qwen3.5-397b-a17b,CULTURE_036,culture,8.87,10.0,10.0,9.0,9.41
qwen3.5-397b-a17b,CULTURE_037,culture,7.59,10.0,10.0,6.83,8.48
qwen3.5-397b-a17b,CULTURE_039,culture,7.64,10.0,9.0,7.83,8.5
qwen3.5-397b-a17b,CULTURE_041,culture,6.26,10.0,10.0,10.0,8.88
qwen3.5-397b-a17b,CULTURE_043,culture,6.05,10.0,10.0,7.83,8.27
qwen3.5-397b-a17b,CULTURE_044,culture,9.54,10.0,6.83,10.0,9.07
qwen3.5-397b-a17b,CULTURE_055,culture,10.0,10.0,10.0,9.0,9.75
qwen3.5-397b-a17b,CULTURE_061,culture,8.5,10.0,10.0,6.83,8.76
qwen3.5-397b-a17b,CULTURE_062,culture,8.12,10.0,9.0,9.0,8.94
qwen3.5-397b-a17b,CULTURE_063,culture,8.86,10.0,10.0,10.0,9.66
qwen3.5-397b-a17b,CULTURE_064,culture,8.25,10.0,9.0,10.0,9.22
qwen3.5-397b-a17b,CULTURE_065,culture,5.17,10.0,10.0,8.83,8.26
qwen3.5-397b-a17b,CULTURE_067,culture,8.61,10.0,8.0,10.0,9.08
qwen3.5-397b-a17b,CULTURE_070,culture,6.54,10.0,10.0,9.0,8.71
qwen3.5-397b-a17b,CULTURE_072,culture,7.17,10.0,10.0,5.83,8.11
qwen3.5-397b-a17b,CULTURE_073,culture,9.27,10.0,10.0,6.83,8.99
qwen3.5-397b-a17b,CULTURE_076,culture,10.0,10.0,10.0,8.0,9.5
qwen3.5-397b-a17b,CULTURE_078,culture,6.64,10.0,10.0,10.0,8.99
qwen3.5-397b-a17b,CULTURE_080,culture,5.17,10.0,10.0,9.0,8.3
qwen3.5-397b-a17b,CULTURE_082,culture,4.25,10.0,8.0,10.0,6.76
qwen3.5-397b-a17b,CULTURE_085,culture,10.0,10.0,9.0,10.0,9.75
qwen3.5-397b-a17b,CULTURE_086,culture,5.0,10.0,9.0,7.83,7.71
qwen3.5-397b-a17b,CULTURE_087,culture,3.72,10.0,9.0,9.0,7.62
qwen3.5-397b-a17b,CULTURE_091,culture,6.67,10.0,7.83,10.0,8.46
qwen3.5-397b-a17b,CULTURE_095,culture,4.33,10.0,10.0,10.0,8.3
qwen3.5-397b-a17b,CULTURE_097,culture,8.08,10.0,9.0,10.0,9.17
qwen3.5-397b-a17b,CULTURE_098,culture,6.01,4.26,7.83,6.83,6.32
qwen3.5-397b-a17b,FINANCE_001,finance,9.77,10.0,10.0,10.0,9.93
qwen3.5-397b-a17b,FINANCE_006,finance,9.64,10.0,7.83,9.0,9.1
qwen3.5-397b-a17b,FINANCE_007,finance,5.8,10.0,10.0,10.0,8.74
qwen3.5-397b-a17b,FINANCE_009,finance,8.14,10.0,10.0,10.0,9.44
qwen3.5-397b-a17b,FINANCE_011,finance,8.31,7.87,9.0,10.0,8.82
qwen3.5-397b-a17b,FINANCE_013,finance,7.67,10.0,7.83,6.83,7.97
qwen3.5-397b-a17b,FINANCE_015,finance,8.5,10.0,9.0,10.0,9.3
qwen3.5-397b-a17b,FINANCE_016,finance,9.31,10.0,5.67,10.0,8.71
qwen3.5-397b-a17b,FINANCE_018,finance,6.42,10.0,10.0,10.0,8.93
qwen3.5-397b-a17b,FINANCE_021,finance,9.79,10.0,6.83,9.0,8.89
qwen3.5-397b-a17b,FINANCE_025,finance,8.67,10.0,10.0,9.0,9.35
qwen3.5-397b-a17b,FINANCE_027,finance,10.0,10.0,10.0,10.0,10.0
qwen3.5-397b-a17b,FINANCE_029,finance,9.85,10.0,10.0,10.0,9.96
qwen3.5-397b-a17b,FINANCE_030,finance,7.69,10.0,9.0,10.0,9.06
qwen3.5-397b-a17b,FINANCE_031,finance,8.5,10.0,10.0,10.0,9.55
